============================================================
[START] 2026-03-19 13:52:40 worker=4 gpu=5 cfg=config/base_hpo3_reconst_13.yaml mode=full
============================================================
[INFO] CUDA_VISIBLE_DEVICES=5
[INFO] MODE=full
[INFO] BASE_CFG=config/base_hpo3_reconst_13.yaml
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D256_BP3_50
[INFO] model params: 21,916,865
[Epoch 080/100] train_loss=0.088993 | val_loss=0.223309 | val_acc=0.9481 | best_metric=0.9827 (epoch 24) | time=13.1s
[Epoch 081/100] train_loss=0.060691 | val_loss=0.239693 | val_acc=0.9585 | best_metric=0.9827 (epoch 24) | time=10.5s
[Epoch 082/100] train_loss=0.042279 | val_loss=0.320565 | val_acc=0.9377 | best_metric=0.9827 (epoch 24) | time=10.8s
[Epoch 083/100] train_loss=0.046113 | val_loss=0.219027 | val_acc=0.9377 | best_metric=0.9827 (epoch 24) | time=10.5s
[Epoch 084/100] train_loss=0.056855 | val_loss=0.284577 | val_acc=0.9273 | best_metric=0.9827 (epoch 24) | time=11.7s
[Epoch 085/100] train_loss=0.079608 | val_loss=0.205590 | val_acc=0.9619 | best_metric=0.9827 (epoch 24) | time=9.6s
[Epoch 086/100] train_loss=0.060824 | val_loss=0.254856 | val_acc=0.9550 | best_metric=0.9827 (epoch 24) | time=10.6s
[Epoch 087/100] train_loss=0.059933 | val_loss=0.377662 | val_acc=0.9170 | best_metric=0.9827 (epoch 24) | time=9.9s
[Epoch 088/100] train_loss=0.069452 | val_loss=0.228832 | val_acc=0.9654 | best_metric=0.9827 (epoch 24) | time=10.5s
[Epoch 089/100] train_loss=0.064359 | val_loss=0.247340 | val_acc=0.9585 | best_metric=0.9827 (epoch 24) | time=11.2s
[Epoch 090/100] train_loss=0.069781 | val_loss=0.219753 | val_acc=0.9550 | best_metric=0.9827 (epoch 24) | time=10.1s
